Age,Embarked,FamilyCount,Fare,Parch,PassengerId,Pclass,Sex,SibSp,Ticket,Title,Survived
16,Q,0,7.75,0,209,3,female,0,3,Miss,1
16,S,0,7.775,0,765,3,male,0,3,Mr,0
16,S,0,8.05,0,221,3,male,0,S,Mr,1
16,S,0,8.05,0,575,3,male,0,A,Mr,0
16,S,0,9.2167,0,139,3,male,0,7,Mr,0
16,S,0,9.5,0,283,3,male,0,3,Mr,0
16,S,0,10.5,0,842,2,male,0,S,Mr,0
16,S,0,26,0,792,2,male,0,2,Mr,0
16,S,0,86.5,0,505,1,female,0,1,Miss,1
16,S,1,39.4,1,854,1,female,0,P,Miss,1
16,S,2,18,0,334,3,male,2,3,Mr,0
16,S,2,20.25,1,747,3,male,1,C,Mr,0
16,S,4,34.375,3,87,3,male,1,W,Mr,0
16,S,5,39.6875,1,267,3,male,4,3,Mr,0
16,S,7,46.9,2,72,3,female,5,C,Miss,0
17,C,0,12,0,390,2,female,0,S,Miss,1
17,C,0,14.4583,0,115,3,female,0,2,Miss,0
17,C,1,108.9,0,308,1,female,1,P,Mrs,1
17,C,2,7.2292,1,533,3,male,1,2,Mr,0
17,C,2,110.8833,2,551,1,male,0,1,Mr,1
17,S,0,7.125,0,434,3,male,0,S,Mr,0
17,S,0,8.6625,0,164,3,male,0,3,Mr,0
17,S,0,8.6625,0,501,3,male,0,3,Mr,0
17,S,0,8.6625,0,845,3,male,0,3,Mr,0
17,S,0,10.5,0,85,2,female,0,S,Miss,1
17,S,1,7.0542,0,722,3,male,1,3,Mr,0
17,S,1,57,0,782,1,female,1,1,Mrs,1
17,S,6,7.925,2,69,3,female,4,3,Miss,1
18,C,1,14.4542,1,703,3,female,0,2,Miss,0
18,C,1,108.9,0,506,1,male,1,P,Mr,0
18,C,1,227.525,0,701,1,female,1,P,Mrs,1
18,C,4,262.375,2,312,1,female,2,P,Miss,1
18,Q,0,6.75,0,655,3,female,0,3,Miss,0
18,S,0,7.4958,0,787,3,female,0,3,Miss,1
18,S,0,7.75,0,776,3,male,0,3,Mr,0
18,S,0,7.775,0,676,3,male,0,3,Mr,0
18,S,0,7.775,0,808,3,female,0,3,Miss,0
18,S,0,7.7958,0,689,3,male,0,3,Mr,0
18,S,0,8.05,0,205,3,male,0,A,Mr,1
18,S,0,8.3,0,835,3,male,0,2,Mr,0
18,S,0,9.8417,0,678,3,female,0,4,Miss,1
18,S,0,11.5,0,145,2,male,0,2,Mr,0
18,S,0,11.5,0,758,2,male,0,2,Mr,0
18,S,0,13,0,229,2,male,0,2,Mr,0
18,S,0,73.5,0,386,2,male,0,S,Mr,0
18,S,1,6.4958,0,372,3,male,1,3,Mr,0
18,S,1,9.35,1,856,3,female,0,3,Mrs,1
18,S,1,17.8,0,50,3,female,1,3,Mrs,0
18,S,1,23,1,652,2,female,0,2,Miss,1
18,S,2,7.8542,1,176,3,male,1,3,Mr,0
18,S,2,13,2,418,2,female,0,2,Miss,1
18,S,2,18,0,39,3,female,2,3,Miss,0
18,S,2,20.2125,1,425,3,male,1,3,Mr,0
18,S,2,79.65,2,586,1,female,0,1,Miss,1
19,C,1,91.0792,0,292,1,female,1,1,Mrs,1
19,Q,0,6.75,0,144,3,male,0,3,Mr,0
19,Q,0,7.8792,0,45,3,female,0,3,Miss,1
19,S,0,0,0,303,3,male,0,L,Mr,0
19,S,0,7.65,0,716,3,male,0,3,Mr,0
19,S,0,7.775,0,380,3,male,0,3,Mr,0
19,S,0,7.8958,0,567,3,male,0,3,Mr,0
19,S,0,7.8958,0,647,3,male,0,3,Mr,0
19,S,0,7.8958,0,878,3,male,0,3,Mr,0
19,S,0,8.05,0,284,3,male,0,A,Mr,1
19,S,0,8.05,0,373,3,male,0,3,Mr,0
19,S,0,8.1583,0,68,3,male,0,S,Mr,0
19,S,0,10.1708,0,688,3,male,0,3,Mr,0
19,S,0,10.5,0,227,2,male,0,S,Mr,1
19,S,0,10.5,0,239,2,male,0,2,Mr,0
19,S,0,13,0,192,2,male,0,2,Mr,0
19,S,0,14.5,0,576,3,male,0,3,Mr,0
19,S,0,26,0,428,2,female,0,2,Miss,1
19,S,0,30,0,888,1,female,0,1,Miss,1
19,S,1,7.8542,0,193,3,female,1,3,Miss,1
19,S,1,26,0,547,2,female,1,2,Mrs,1
19,S,1,53.1,0,749,1,male,1,1,Mr,0
19,S,2,26.2833,2,137,1,female,0,1,Miss,1
19,S,2,36.75,1,146,2,male,1,C,Mr,0
19,S,5,263,2,28,1,male,3,1,Mr,0
20,C,0,4.0125,0,379,3,male,0,2,Mr,0
20,C,0,7.2292,0,763,3,male,0,2,Mr,1
20,C,2,15.7417,1,623,3,male,1,2,Mr,1
20,S,0,7.05,0,132,3,male,0,S,Mr,0
20,S,0,7.25,0,228,3,male,0,A,Mr,0
20,S,0,7.8542,0,92,3,male,0,3,Mr,0
20,S,0,7.8542,0,641,3,male,0,3,Mr,0
20,S,0,7.925,0,841,3,male,0,S,Mr,0
20,S,0,8.05,0,13,3,male,0,A,Mr,0
20,S,0,8.6625,0,405,3,female,0,3,Miss,0
20,S,0,8.6625,0,726,3,male,0,3,Mr,0
20,S,0,9.225,0,683,3,male,0,6,Mr,0
20,S,0,9.5,0,442,3,male,0,3,Mr,0
20,S,0,9.8458,0,877,3,male,0,7,Mr,0
20,S,1,7.925,0,665,3,male,1,S,Mr,1
20,S,1,9.825,0,114,3,female,1,4,Miss,0
21,C,4,262.375,2,743,1,female,2,P,Miss,1
21,Q,0,7.7333,0,422,3,male,0,A,Mr,0
21,Q,0,7.75,0,502,3,female,0,3,Miss,0
21,S,0,7.25,0,492,3,male,0,S,Mr,0
21,S,0,7.65,0,107,3,female,0,3,Miss,1
21,S,0,7.775,0,409,3,male,0,3,Mr,0
21,S,0,7.7958,0,392,3,male,0,3,Mr,1
21,S,0,7.8,0,52,3,male,0,A,Mr,0
21,S,0,7.8542,0,624,3,male,0,3,Mr,0
21,S,0,7.925,0,116,3,male,0,S,Mr,0
21,S,0,7.925,0,174,3,male,0,S,Mr,0
21,S,0,8.05,0,38,3,male,0,A,Mr,0
21,S,0,8.05,0,495,3,male,0,A,Mr,0
21,S,0,8.4333,0,653,3,male,0,8,Mr,0
21,S,0,8.6625,0,837,3,male,0,3,Mr,0
21,S,0,10.5,0,57,2,female,0,C,Miss,1
21,S,0,16.1,0,625,3,male,0,5,Mr,0
21,S,0,73.5,0,73,2,male,0,S,Mr,0
21,S,0,77.9583,0,628,1,female,0,1,Miss,1
21,S,1,9.825,0,403,3,female,1,4,Miss,0
21,S,1,11.5,0,862,2,male,1,2,Mr,0
21,S,1,77.2875,1,103,1,male,0,3,Mr,0
21,S,2,73.5,0,121,2,male,2,S,Mr,0
21,S,4,34.375,2,437,3,female,2,W,Miss,0
22,C,0,7.225,0,554,3,male,0,2,Mr,1
22,C,0,7.2292,0,61,3,male,0,2,Mr,0
22,C,0,135.6333,0,374,1,male,0,P,Mr,0
22,C,2,49.5,2,540,1,female,0,1,Miss,1
22,C,3,41.5792,2,609,2,female,1,S,Mrs,1
22,Q,0,7.75,0,290,3,female,0,3,Miss,1
22,S,0,7.125,0,244,3,male,0,S,Mr,0
22,S,0,7.25,0,213,3,male,0,A,Mr,0
22,S,0,7.25,0,321,3,male,0,A,Mr,0
22,S,0,7.25,0,377,3,female,0,C,Miss,1
22,S,0,7.5208,0,479,3,male,0,3,Mr,0
22,S,0,7.75,0,142,3,female,0,3,Miss,1
22,S,0,7.775,0,555,3,female,0,3,Miss,1
22,S,0,7.7958,0,396,3,male,0,3,Mr,0
22,S,0,7.8958,0,288,3,male,0,3,Mr,0
22,S,0,7.8958,0,522,3,male,0,3,Mr,0
22,S,0,8.05,0,113,3,male,0,3,Mr,0
22,S,0,8.05,0,589,3,male,0,1,Mr,0
22,S,0,9,0,81,3,male,0,3,Mr,0
22,S,0,9.35,0,226,3,male,0,P,Mr,0
22,S,0,9.8375,0,475,3,female,0,7,Miss,0
22,S,0,10.5167,0,883,3,female,0,7,Miss,0
22,S,0,151.55,0,709,1,female,0,1,Miss,1
22,S,1,7.25,0,1,3,male,1,A,Mr,0
22,S,1,55,1,357,1,female,0,1,Miss,1
22,S,1,66.6,0,152,1,female,1,1,Mrs,1
22,S,2,29,1,324,2,female,1,2,Mrs,1
23,C,0,13.7917,0,474,2,female,0,S,Mrs,1
23,C,0,15.0458,0,136,2,male,0,S,Mr,0
23,C,1,63.3583,1,98,1,male,0,P,Mr,1
23,C,1,113.275,0,394,1,female,1,3,Miss,1
23,S,0,7.55,0,650,3,female,0,C,Miss,1
23,S,0,7.8542,0,834,3,male,0,3,Mr,0
23,S,0,7.8958,0,754,3,male,0,3,Mr,0
23,S,0,7.925,0,817,3,female,0,S,Miss,0
23,S,0,9.225,0,351,3,male,0,7,Mr,0
23,S,0,10.5,0,399,2,male,0,2,Dr,0
23,S,0,13,0,659,2,male,0,2,Mr,0
23,S,0,13,0,734,2,male,0,2,Mr,0
23,S,0,13,0,735,2,male,0,2,Mr,0
23,S,3,11.5,1,530,2,male,2,2,Mr,0
23,S,5,263,2,89,1,female,3,1,Miss,1
24,C,0,7.2292,0,297,3,male,0,2,Mr,0
24,C,0,49.5042,0,711,1,female,0,P,Mlle,1
24,C,0,69.3,0,370,1,female,0,P,Mme,1
24,C,0,69.3,0,642,1,female,0,P,Mlle,1
24,C,0,79.2,0,140,1,male,0,P,Mr,0
24,C,0,83.1583,0,311,1,female,0,1,Miss,1
24,C,1,247.5208,1,119,1,male,0,P,Mr,0
24,C,3,19.2583,3,859,3,female,0,2,Mrs,1
24,S,0,7.05,0,211,3,male,0,S,Mr,0
24,S,0,7.1417,0,128,3,male,0,C,Mr,1
24,S,0,7.4958,0,515,3,male,0,3,Mr,0
24,S,0,7.7958,0,500,3,male,0,3,Mr,0
24,S,0,7.8958,0,295,3,male,0,3,Mr,0
24,S,0,8.05,0,90,3,male,0,3,Mr,0
24,S,0,8.05,0,677,3,male,0,3,Mr,0
24,S,0,8.85,0,294,3,female,0,3,Miss,0
24,S,0,9.5,0,771,3,male,0,3,Mr,0
24,S,0,10.5,0,235,2,male,0,C,Mr,0
24,S,0,13,0,200,2,female,0,2,Miss,0
24,S,0,13,0,346,2,female,0,2,Miss,1
24,S,0,13,0,865,2,male,0,2,Mr,0
24,S,1,15.85,0,143,3,female,1,S,Mrs,1
24,S,1,16.1,0,744,3,male,1,3,Mr,0
24,S,1,26,0,317,2,female,1,2,Mrs,1
24,S,2,14.5,2,248,2,female,0,2,Mrs,1
24,S,2,16.7,2,395,3,female,0,P,Mrs,1
24,S,2,24.15,0,566,3,male,2,A,Mr,0
24,S,2,73.5,0,656,2,male,2,S,Mr,0
24,S,3,27,1,601,2,female,2,2,Mrs,1
24,S,3,65,2,616,2,female,1,2,Miss,1
24,S,5,18.75,3,438,2,female,2,2,Mrs,1
24,S,5,263,2,342,1,female,3,1,Miss,1
25,C,0,7.225,0,694,3,male,0,2,Mr,0
25,C,1,55.4417,0,371,1,male,1,1,Mr,1
25,C,1,91.0792,0,485,1,male,1,1,Mr,1
25,C,3,41.5792,2,686,2,male,1,S,Mr,0
25,Q,0,7.7417,0,704,3,male,0,3,Mr,0
25,S,0,0,0,272,3,male,0,L,Mr,1
25,S,0,7.05,0,785,3,male,0,S,Mr,0
25,S,0,7.05,0,885,3,male,0,S,Mr,0
25,S,0,7.25,0,786,3,male,0,3,Mr,0
25,S,0,7.65,0,76,3,male,0,3,Mr,0
25,S,0,7.775,0,247,3,female,0,3,Miss,0
25,S,0,7.8958,0,795,3,male,0,3,Mr,0
25,S,0,13,0,135,2,male,0,C,Mr,0
25,S,0,13,0,344,2,male,0,2,Mr,0
25,S,0,13,0,667,2,male,0,2,Mr,0
25,S,1,7.775,0,268,3,male,1,3,Mr,1
25,S,1,7.775,0,443,3,male,1,3,Mr,0
25,S,1,7.925,0,730,3,female,1,S,Miss,0
25,S,1,17.8,0,354,3,male,1,3,Mr,0
25,S,1,26,0,729,2,male,1,2,Mr,0
25,S,1,26,1,881,2,female,0,2,Mrs,1
25,S,2,30,1,581,2,female,1,2,Miss,1
25,S,3,151.55,2,499,1,female,1,1,Mrs,0
26,C,0,18.7875,0,208,3,male,0,2,Mr,1
26,C,0,30,0,890,1,male,0,1,Mr,1
26,C,1,14.4542,0,74,3,male,1,2,Mr,0
26,S,0,7.775,0,163,3,male,0,3,Mr,0
26,S,0,7.8542,0,316,3,female,0,3,Miss,1
26,S,0,7.8875,0,811,3,male,0,3,Mr,0
26,S,0,7.8958,0,629,3,male,0,3,Mr,0
26,S,0,7.8958,0,871,3,male,0,3,Mr,0
26,S,0,7.925,0,3,3,female,0,S,Miss,1
26,S,0,8.05,0,402,3,male,0,3,Mr,0
26,S,0,10.5,0,620,2,male,0,3,Mr,0
26,S,0,56.4958,0,510,3,male,0,1,Mr,1
26,S,0,78.85,0,291,1,female,0,1,Miss,1
26,S,1,7.8542,0,705,3,male,1,3,Mr,0
26,S,1,16.1,0,618,3,female,1,A,Mrs,0
26,S,2,8.6625,0,70,3,male,2,3,Mr,0
26,S,2,26,1,313,2,female,1,2,Mrs,0
26,S,3,20.575,2,94,3,male,1,C,Mr,0
27,C,0,76.7292,0,682,1,male,0,P,Mr,1
27,C,1,13.8583,0,867,2,female,1,S,Miss,1
27,C,1,14.4542,0,621,3,male,1,2,Mr,0
27,C,2,211.5,2,378,1,male,0,1,Mr,0
27,S,0,6.975,0,805,3,male,0,3,Mr,1
27,S,0,7.7958,0,147,3,male,0,3,Mr,1
27,S,0,7.8958,0,322,3,male,0,3,Mr,0
27,S,0,7.925,0,217,3,female,0,S,Miss,1
27,S,0,8.6625,0,822,3,male,0,3,Mr,1
27,S,0,10.5,0,718,2,female,0,3,Miss,1
27,S,0,13,0,222,2,male,0,2,Mr,0
27,S,0,13,0,887,2,male,0,2,Rev,0
27,S,0,26,0,552,2,male,0,2,Mr,0
27,S,0,30.5,0,608,1,male,0,1,Mr,1
27,S,1,12.475,1,824,3,female,0,3,Mrs,1
27,S,1,21,0,42,2,female,1,1,Mrs,0
27,S,1,53.1,0,725,1,male,1,1,Mr,1
27,S,2,11.1333,2,9,3,female,0,3,Mrs,1
28,C,0,7.2292,0,58,3,male,0,2,Mr,0
28,C,1,24,0,875,2,female,1,P,Mrs,1
28,C,1,82.1708,0,35,1,male,1,P,Mr,0
28,S,0,7.7958,0,757,3,male,0,3,Mr,0
28,S,0,7.8542,0,282,3,male,0,3,Mr,0
28,S,0,7.8958,0,101,3,female,0,3,Miss,0
28,S,0,7.8958,0,106,3,male,0,3,Mr,0
28,S,0,7.8958,0,314,3,male,0,3,Mr,0
28,S,0,9.5,0,201,3,male,0,3,Mr,0
28,S,0,9.5,0,356,3,male,0,3,Mr,0
28,S,0,10.5,0,884,2,male,0,C,Mr,0
28,S,0,12.65,0,400,2,female,0,2,Mrs,1
28,S,0,13,0,343,2,male,0,2,Mr,0
28,S,0,13,0,444,2,female,0,2,Ms,1
28,S,0,13,0,636,2,female,0,2,Miss,1
28,S,0,13.5,0,563,2,male,0,2,Mr,0
28,S,0,16.1,0,736,3,male,0,5,Mr,0
28,S,0,22.525,0,509,3,male,0,C,Mr,0
28,S,0,26.55,0,431,1,male,0,1,Mr,1
28,S,0,35.5,0,24,1,male,0,1,Mr,1
28,S,0,47.1,0,84,1,male,0,1,Mr,0
28,S,0,56.4958,0,170,3,male,0,1,Mr,0
28,S,1,15.85,0,404,3,male,1,S,Mr,0
28,S,1,26,0,427,2,female,1,2,Mrs,1
28,S,1,33,1,849,2,male,0,2,Rev,0
28,S,2,7.925,0,393,3,male,2,3,Mr,0
28,S,2,14.4,1,424,3,female,1,3,Mrs,0
29,C,0,7.8958,0,456,3,male,0,3,Mr,1
29,C,1,27.7208,0,362,2,male,1,S,Mr,0
29,C,2,15.2458,2,256,3,female,0,2,Mrs,1
29,Q,0,7.75,0,511,3,male,0,3,Mr,1
29,S,0,7.775,0,232,3,male,0,3,Mr,0
29,S,0,7.875,0,423,3,male,0,3,Mr,0
29,S,0,8.05,0,91,3,male,0,3,Mr,0
29,S,0,9.4833,0,714,3,male,0,7,Mr,0
29,S,0,9.5,0,82,3,male,0,3,Mr,1
29,S,0,10.5,0,67,2,female,0,C,Mrs,1
29,S,0,10.5,0,243,2,male,0,W,Mr,0
29,S,0,30,0,783,1,male,0,1,Mr,0
29,S,0,211.3375,0,731,1,female,0,2,Miss,1
29,S,1,7.0458,0,478,3,male,1,3,Mr,0
29,S,1,21,0,118,2,male,1,1,Mr,0
29,S,1,26,0,54,2,female,1,2,Mrs,1
29,S,1,26,0,134,2,female,1,2,Mrs,1
29,S,1,66.6,0,337,1,male,1,1,Mr,0
29,S,2,10.4625,1,252,3,female,1,3,Mrs,0
29,S,4,21.075,4,568,3,female,0,3,Mrs,0
30,C,0,7.225,0,245,3,male,0,2,Mr,0
30,C,0,7.2292,0,799,3,male,0,2,Mr,0
30,C,0,27.75,0,453,1,male,0,1,Mr,0
30,C,0,31,0,843,1,female,0,1,Miss,1
30,C,0,56.9292,0,310,1,female,0,P,Miss,1
30,C,0,106.425,0,538,1,female,0,P,Miss,1
30,C,1,24,0,309,2,male,1,P,Mr,0
30,Q,0,7.75,0,768,3,female,0,3,Miss,0
30,Q,0,12.35,0,323,2,female,0,2,Miss,1
30,S,0,7.25,0,366,3,male,0,C,Mr,0
30,S,0,7.8958,0,607,3,male,0,3,Mr,0
30,S,0,8.05,0,158,3,male,0,S,Mr,0
30,S,0,8.05,0,489,3,male,0,A,Mr,0
30,S,0,8.05,0,815,3,male,0,3,Mr,0
30,S,0,8.6625,0,535,3,female,0,3,Miss,0
30,S,0,9.5,0,287,3,male,0,3,Mr,1
30,S,0,10.5,0,220,2,male,0,W,Mr,0
30,S,0,12.475,0,80,3,female,0,3,Miss,1
30,S,0,13,0,179,2,male,0,2,Mr,0
30,S,0,13,0,214,2,male,0,2,Mr,0
30,S,0,13,0,419,2,male,0,2,Mr,0
30,S,0,13,0,748,2,female,0,2,Miss,1
30,S,0,86.5,0,258,1,female,0,1,Miss,1
30,S,0,93.5,0,521,1,female,0,1,Miss,1
30,S,1,16.1,0,254,3,male,1,A,Mr,0
30,S,2,24.15,1,800,3,female,1,3,Mrs,0
30,S,3,21,0,727,2,female,3,3,Mrs,1
31,C,1,113.275,0,216,1,female,1,3,Miss,1
31,C,2,37.0042,1,818,2,male,1,S,Mr,0
31,Q,0,7.75,0,750,3,male,0,3,Mr,0
31,S,0,7.775,0,806,3,male,0,3,Mr,0
31,S,0,7.8542,0,397,3,female,0,3,Miss,0
31,S,0,7.925,0,745,3,male,0,S,Mr,1
31,S,0,8.6833,0,798,3,female,0,3,Mrs,1
31,S,0,10.5,0,440,2,male,0,C,Mr,0
31,S,0,13,0,674,2,male,0,2,Mr,1
31,S,0,50.4958,0,868,1,male,0,P,Mr,0
31,S,1,18,0,19,3,female,1,3,Mrs,0
31,S,1,52,0,672,1,male,1,F,Mr,0
31,S,1,57,0,691,1,male,1,1,Mr,1
31,S,2,20.525,1,329,3,female,1,3,Mrs,1
31,S,2,26.25,1,638,2,male,1,C,Mr,0
31,S,2,26.25,1,802,2,female,1,C,Mrs,1
31,S,2,164.8667,2,319,1,female,0,3,Miss,1
32,C,0,30.5,0,633,1,male,0,1,Dr,1
32,C,0,76.2917,0,219,1,female,0,1,Miss,1
32,C,1,30.0708,0,123,2,male,1,2,Mr,0
32,Q,0,7.75,0,891,3,male,0,3,Mr,0
32,Q,2,15.5,1,658,3,female,1,3,Mrs,0
32,S,0,7.8542,0,570,3,male,0,3,Mr,1
32,S,0,7.8958,0,520,3,male,0,3,Mr,0
32,S,0,7.925,0,383,3,male,0,S,Mr,0
32,S,0,7.925,0,580,3,male,0,S,Mr,1
32,S,0,7.925,0,637,3,male,0,S,Mr,0
32,S,0,8.05,0,430,3,male,0,S,Mr,1
32,S,0,8.3625,0,770,3,male,0,8,Mr,0
32,S,0,10.5,0,71,2,male,0,C,Mr,0
32,S,0,13,0,124,2,female,0,2,Miss,1
32,S,0,13,0,191,2,female,0,2,Mrs,1
32,S,0,56.4958,0,75,3,male,0,1,Mr,1
32,S,0,56.4958,0,839,3,male,0,1,Mr,1
32,S,1,15.85,0,207,3,male,1,3,Mr,0
32,S,1,26,0,544,2,male,1,2,Mr,1
32,S,2,73.5,0,666,2,male,2,S,Mr,0
33,C,0,7.8958,0,131,3,male,0,3,Mr,0
33,C,0,8.6625,0,286,3,male,0,3,Mr,0
33,Q,1,90,0,413,1,female,1,1,Miss,1
33,S,0,5,0,873,1,male,0,6,Mr,0
33,S,0,7.775,0,720,3,male,0,3,Mr,0
33,S,0,7.8958,0,882,3,male,0,3,Mr,0
33,S,0,8.6542,0,104,3,male,0,7,Mr,0
33,S,0,9.5,0,753,3,male,0,3,Mr,0
33,S,0,12.275,0,240,2,male,0,S,Mr,0
33,S,0,86.5,0,760,1,female,0,1,the Countess,1
33,S,1,53.1,0,810,1,female,1,1,Mrs,1
33,S,2,20.525,1,549,3,male,1,3,Mr,0
33,S,2,26,2,507,2,female,0,2,Mrs,1
33,S,3,15.85,0,86,3,female,3,3,Mrs,1
33,S,3,27.75,2,473,2,female,1,C,Mrs,1
34,C,0,6.4375,0,844,3,male,0,2,Mr,0
34,S,0,6.4958,0,203,3,male,0,3,Mr,0
34,S,0,8.05,0,462,3,male,0,3,Mr,0
34,S,0,8.05,0,759,3,male,0,3,Mr,0
34,S,0,10.5,0,517,2,female,0,C,Mrs,1
34,S,0,13,0,22,2,male,0,2,Mr,1
34,S,0,13,0,577,2,female,0,2,Miss,1
34,S,0,13,0,723,2,male,0,1,Mr,0
34,S,0,13,0,801,2,male,0,2,Mr,0
34,S,0,26.55,0,448,1,male,0,1,Mr,1
34,S,1,21,0,406,2,male,1,2,Mr,0
34,S,1,21,0,477,2,male,1,3,Mr,0
34,S,1,23,1,99,2,female,0,2,Mrs,1
34,S,1,26,0,100,2,male,1,2,Mr,0
34,S,2,14.4,1,617,3,male,1,3,Mr,0
34,S,2,32.5,1,417,2,female,1,2,Mrs,1
35,C,0,7.8958,0,848,3,male,0,3,Mr,0
35,C,0,26.55,0,605,1,male,0,1,Mr,1
35,C,0,512.3292,0,259,1,female,0,P,Miss,1
35,C,0,512.3292,0,738,1,male,0,P,Mr,1
35,S,0,7.05,0,364,3,male,0,S,Mr,0
35,S,0,7.125,0,591,3,male,0,S,Mr,0
35,S,0,8.05,0,5,3,male,0,3,Mr,0
35,S,0,8.05,0,615,3,male,0,3,Mr,0
35,S,0,10.5,0,813,2,male,0,2,Mr,0
35,S,0,21,0,212,2,female,0,F,Miss,1
35,S,0,26,0,21,2,male,0,2,Mr,0
35,S,0,26.2875,0,702,1,male,0,P,Mr,1
35,S,0,135.6333,0,270,1,female,0,P,Miss,1
35,S,1,52,0,384,1,female,1,1,Mrs,1
35,S,1,53.1,0,4,1,female,1,1,Mrs,1
35,S,1,83.475,0,231,1,female,1,3,Mrs,1
